contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
-0.7118,60.0216,-0.0550,0.0016,-0.1313,0.9913,0.1575,-0.0118,0.9913,0.1313,-0.0022,-0.9999,-0.0119,0.0000,0.0776,-0.0003,0
-1.7115,60.0012,-0.0550,0.0037,-0.1313,0.9913,0.1575,-0.0283,0.9909,0.1314,-0.0022,-0.9996,-0.0285,0.0000,0.0776,-0.0003,0
-2.7109,59.9644,-0.0550,0.0059,-0.1312,0.9913,0.1575,-0.0448,0.9903,0.1314,-0.0022,-0.9990,-0.0452,0.0000,0.0776,-0.0003,0
-3.7094,59.9111,-0.0550,0.0081,-0.1311,0.9913,0.1575,-0.0613,0.9894,0.1313,-0.0022,-0.9981,-0.0618,0.0000,0.0776,-0.0003,0
-4.7069,59.8407,-0.0550,0.0103,-0.1310,0.9913,0.1575,-0.0777,0.9883,0.1314,-0.0022,-0.9969,-0.0784,0.0000,0.0776,-0.0003,0
-5.7032,59.7541,-0.0550,0.0125,-0.1308,0.9913,0.1575,-0.0942,0.9868,0.1314,-0.0022,-0.9955,-0.0950,0.0000,0.0776,-0.0003,0
-6.6978,59.6509,-0.0550,0.0147,-0.1305,0.9913,0.1575,-0.1106,0.9851,0.1314,-0.0022,-0.9938,-0.1116,0.0000,0.0776,-0.0003,0
-7.6906,59.5308,-0.0550,0.0168,-0.1303,0.9913,0.1575,-0.1270,0.9832,0.1314,-0.0022,-0.9918,-0.1281,0.0000,0.0776,-0.0003,0
-8.6812,59.3946,-0.0550,0.0190,-0.1300,0.9913,0.1575,-0.1434,0.9809,0.1314,-0.0022,-0.9895,-0.1446,0.0000,0.0776,-0.0003,0
-9.6695,59.2417,-0.0550,0.0212,-0.1296,0.9913,0.1575,-0.1597,0.9784,0.1314,-0.0022,-0.9869,-0.1611,0.0000,0.0776,-0.0003,0
-10.6550,59.0723,-0.0550,0.0233,-0.1293,0.9913,0.1575,-0.1760,0.9756,0.1314,-0.0022,-0.9841,-0.1775,0.0000,0.0776,-0.0003,0
-11.6376,58.8868,-0.0550,0.0255,-0.1289,0.9913,0.1575,-0.1922,0.9725,0.1314,-0.0022,-0.9810,-0.1939,0.0000,0.0776,-0.0003,0
-12.6170,58.6847,-0.0550,0.0276,-0.1284,0.9913,0.1575,-0.2084,0.9692,0.1314,-0.0022,-0.9777,-0.2102,0.0000,0.0776,-0.0003,0
-13.5928,58.4663,-0.0550,0.0298,-0.1280,0.9913,0.1575,-0.2245,0.9656,0.1314,-0.0022,-0.9740,-0.2265,0.0000,0.0776,-0.0003,0
-14.5649,58.2319,-0.0550,0.0319,-0.1274,0.9913,0.1575,-0.2405,0.9617,0.1313,-0.0022,-0.9701,-0.2426,0.0000,0.0776,-0.0003,0
