X,Y,Z
-37.6780,-43.2642,-0.5434
-36.9237,-43.9024,-0.5450
-36.1585,-44.5274,-0.5467
-35.3827,-45.1390,-0.5483
-34.5951,-45.7385,-0.5500
-33.8003,-46.3215,-0.5517
-32.9941,-46.8920,-0.5534
-32.1783,-47.4484,-0.5551
-31.3531,-47.9907,-0.5568
-30.5189,-48.5186,-0.5585
-29.6757,-49.0320,-0.5602
-28.8239,-49.5308,-0.5620
-27.9637,-50.0148,-0.5636
-27.0954,-50.4838,-0.5654
-26.2193,-50.9378,-0.5671
-25.3355,-51.3767,-0.5687
-24.4444,-51.8001,-0.5705
-23.5463,-52.2082,-0.5721
-22.6414,-52.6007,-0.5738
-21.7299,-52.9774,-0.5755
-20.8121,-53.3385,-0.5772
-19.8884,-53.6836,-0.5789
-18.9590,-54.0127,-0.5806
-18.0241,-54.3258,-0.5823
-17.0841,-54.6226,-0.5840
-16.1392,-54.9032,-0.5857
-15.1897,-55.1675,-0.5873
-14.2359,-55.4154,-0.5890
-13.2780,-55.6468,-0.5907
-12.3164,-55.8616,-0.5924
-11.3514,-56.0598,-0.5941
-10.3832,-56.2414,-0.5958
-9.4120,-56.4063,-0.5974
-8.4383,-56.5543,-0.5991
-7.4623,-56.6856,-0.6008
-6.4843,-56.7999,-0.6025
-5.5045,-56.8973,-0.6043
-4.5233,-56.9779,-0.6060
-3.5410,-57.0415,-0.6077
-2.5578,-57.0882,-0.6094
-1.5740,-57.1180,-0.6111
-0.5900,-57.1307,-0.6129
0.3940,-57.1266,-0.6146
1.3777,-57.1056,-0.6163
2.3607,-57.0676,-0.6180
3.3429,-57.0127,-0.6197
4.3239,-56.9409,-0.6214
5.3034,-56.8522,-0.6231
6.2811,-56.7467,-0.6248
7.2568,-56.6244,-0.6266
8.2301,-56.4853,-0.6283
9.2008,-56.3295,-0.6300
10.1685,-56.1570,-0.6317
11.1331,-55.9679,-0.6334
12.0941,-55.7622,-0.6351
13.0514,-55.5400,-0.6368
14.0046,-55.3015,-0.6385
14.9534,-55.0465,-0.6402
15.8976,-54.7753,-0.6419
16.8370,-54.4879,-0.6436
17.7711,-54.1844,-0.6453
18.6998,-53.8649,-0.6470
19.6227,-53.5295,-0.6487
20.5409,-53.1777,-0.6504
21.4503,-52.8112,-0.6521
22.3544,-52.4286,-0.6539
23.2517,-52.0305,-0.6556
24.1419,-51.6171,-0.6573
25.0247,-51.1884,-0.6591
25.9000,-50.7446,-0.6608
26.7673,-50.2859,-0.6625
27.6266,-49.8124,-0.6642
28.4775,-49.3242,-0.6660
