contactPntX,contactPntY,contactPntZ,normalX,normalY,normalZ,maxCurvature,maxCurvDirectionX,maxCurvDirectionY,maxCurvDirectionZ,minCurvature,minCurvDirectionX,minCurvDirectionY,minCurvDirectionZ,meanCurvature,GaussianCurvature,endOfRevolution(T/F)
22.1754,46.8093,-0.0550,-0.0562,-0.1187,0.9913,0.1575,0.4244,0.8959,0.1313,-0.0025,-0.9037,0.4281,0.0000,0.0775,-0.0004,0
21.2676,47.2287,-0.0550,-0.0539,-0.1197,0.9913,0.1575,0.4070,0.9039,0.1313,-0.0025,-0.9118,0.4106,0.0000,0.0775,-0.0004,0
20.3519,47.6304,-0.0550,-0.0516,-0.1208,0.9913,0.1575,0.3895,0.9116,0.1313,-0.0025,-0.9196,0.3929,0.0000,0.0775,-0.0004,0
19.4286,48.0145,-0.0550,-0.0493,-0.1217,0.9913,0.1575,0.3718,0.9190,0.1313,-0.0025,-0.9270,0.3751,0.0000,0.0775,-0.0004,0
18.4980,48.3806,-0.0550,-0.0469,-0.1227,0.9913,0.1575,0.3540,0.9260,0.1313,-0.0025,-0.9341,0.3571,0.0000,0.0775,-0.0004,0
17.5606,48.7287,-0.0550,-0.0445,-0.1236,0.9913,0.1575,0.3361,0.9326,0.1313,-0.0025,-0.9408,0.3390,0.0000,0.0775,-0.0004,0
16.6166,49.0586,-0.0550,-0.0421,-0.1244,0.9913,0.1575,0.3180,0.9389,0.1313,-0.0025,-0.9471,0.3208,0.0000,0.0775,-0.0004,0
15.6664,49.3702,-0.0550,-0.0397,-0.1252,0.9913,0.1575,0.2998,0.9449,0.1313,-0.0025,-0.9532,0.3025,0.0000,0.0775,-0.0004,0
14.7104,49.6635,-0.0550,-0.0373,-0.1259,0.9913,0.1575,0.2815,0.9505,0.1313,-0.0025,-0.9588,0.2840,0.0000,0.0775,-0.0004,0
13.7489,49.9382,-0.0550,-0.0349,-0.1266,0.9913,0.1575,0.2631,0.9558,0.1313,-0.0025,-0.9641,0.2654,0.0000,0.0775,-0.0004,0
12.7822,50.1943,-0.0550,-0.0324,-0.1273,0.9913,0.1575,0.2446,0.9607,0.1313,-0.0025,-0.9691,0.2468,0.0000,0.0775,-0.0004,0
11.8108,50.4317,-0.0550,-0.0299,-0.1279,0.9913,0.1575,0.2260,0.9652,0.1313,-0.0025,-0.9737,0.2280,0.0000,0.0775,-0.0004,0
10.8350,50.6504,-0.0550,-0.0275,-0.1284,0.9913,0.1575,0.2074,0.9694,0.1313,-0.0025,-0.9779,0.2092,0.0000,0.0775,-0.0004,0
9.8552,50.8501,-0.0550,-0.0250,-0.1289,0.9913,0.1575,0.1886,0.9732,0.1313,-0.0025,-0.9817,0.1903,0.0000,0.0775,-0.0004,0
8.8717,51.0309,-0.0550,-0.0225,-0.1294,0.9913,0.1575,0.1698,0.9767,0.1313,-0.0025,-0.9852,0.1713,0.0000,0.0775,-0.0004,0
7.8849,51.1926,-0.0550,-0.0200,-0.1298,0.9913,0.1575,0.1509,0.9798,0.1313,-0.0025,-0.9883,0.1522,0.0000,0.0775,-0.0004,0
6.8951,51.3353,-0.0550,-0.0175,-0.1302,0.9913,0.1575,0.1320,0.9825,0.1313,-0.0025,-0.9911,0.1331,0.0000,0.0775,-0.0004,0
5.9028,51.4589,-0.0550,-0.0150,-0.1305,0.9913,0.1575,0.1130,0.9849,0.1313,-0.0025,-0.9935,0.1140,0.0000,0.0775,-0.0004,0
4.9083,51.5632,-0.0550,-0.0124,-0.1307,0.9913,0.1575,0.0939,0.9869,0.1313,-0.0025,-0.9955,0.0948,0.0000,0.0775,-0.0004,0
3.9119,51.6484,-0.0550,-0.0099,-0.1310,0.9913,0.1575,0.0749,0.9885,0.1313,-0.0025,-0.9971,0.0755,0.0000,0.0775,-0.0004,0
